date, Births per 1000 People, Annual % Change
1950,37.844,
1951,37.542,-0.8
1952,37.239,-0.81
1953,36.937,-0.81
1954,36.635,-0.82
1955,36.332,-0.83
1956,36.03,-0.83
1957,35.727,-0.84
1958,35.425,-0.85
1959,35.386,-0.11
1960,35.346,-0.11
1961,35.307,-0.11
1962,35.267,-0.11
1963,35.228,-0.11
1964,34.985,-0.69
1965,34.741,-0.7
1966,34.498,-0.7
1967,34.254,-0.71
1968,34.011,-0.71
1969,33.503,-1.49
1970,32.995,-1.52
1971,32.487,-1.54
1972,31.979,-1.56
1973,31.471,-1.59
1974,30.875,-1.89
1975,30.279,-1.93
1976,29.682,-1.97
1977,29.086,-2.01
1978,28.49,-2.05
1979,28.341,-0.52
1980,28.192,-0.53
1981,28.044,-0.52
1982,27.895,-0.53
1983,27.746,-0.53
1984,27.672,-0.27
1985,27.598,-0.27
1986,27.524,-0.27
1987,27.45,-0.27
1988,27.376,-0.27
1989,26.735,-2.34
1990,26.094,-2.4
1991,25.453,-2.46
1992,24.812,-2.52
1993,24.171,-2.58
1994,23.779,-1.62
1995,23.387,-1.65
1996,22.995,-1.68
1997,22.603,-1.7
1998,22.211,-1.73
1999,21.972,-1.08
2000,21.733,-1.09
2001,21.495,-1.1
2002,21.256,-1.11
2003,21.017,-1.12
2004,20.882,-0.64
2005,20.746,-0.65
2006,20.611,-0.65
2007,20.475,-0.66
2008,20.34,-0.66
2009,20.166,-0.86
2010,19.991,-0.87
2011,19.817,-0.87
2012,19.642,-0.88
2013,19.468,-0.89
2014,19.272,-1.01
2015,19.075,-1.02
2016,18.879,-1.03
2017,18.682,-1.04
2018,18.486,-1.05
2019,18.282,-1.1
2020,18.077,-1.12
2021,17.873,-1.13
2022,17.668,-1.15
2023,17.464,-1.15
2024,17.299,-0.94
2025,17.134,-0.95
2026,16.97,-0.96
2027,16.805,-0.97
2028,16.64,-0.98
2029,16.515,-0.75
2030,16.39,-0.76
2031,16.265,-0.76
2032,16.14,-0.77
2033,16.015,-0.77
2034,15.913,-0.64
2035,15.811,-0.64
2036,15.708,-0.65
2037,15.606,-0.65
2038,15.504,-0.65
2039,15.416,-0.57
2040,15.329,-0.56
2041,15.241,-0.57
2042,15.154,-0.57
2043,15.066,-0.58
2044,14.98,-0.57
2045,14.893,-0.58
2046,14.807,-0.58
2047,14.72,-0.59
2048,14.634,-0.58
2049,14.55,-0.57
2050,14.466,-0.58
2051,14.383,-0.57
2052,14.299,-0.58
2053,14.215,-0.59
2054,14.135,-0.56
2055,14.054,-0.57
2056,13.974,-0.57
2057,13.893,-0.58
2058,13.813,-0.58
2059,13.743,-0.51
2060,13.673,-0.51
2061,13.603,-0.51
2062,13.533,-0.51
2063,13.463,-0.52
2064,13.4,-0.47
2065,13.337,-0.47
2066,13.273,-0.48
2067,13.21,-0.47
2068,13.147,-0.48
2069,13.091,-0.43
2070,13.036,-0.42
2071,12.98,-0.43
2072,12.925,-0.42
2073,12.869,-0.43
2074,12.817,-0.4
2075,12.765,-0.41
2076,12.714,-0.4
2077,12.662,-0.41
2078,12.61,-0.41
2079,12.557,-0.42
2080,12.504,-0.42
2081,12.45,-0.43
2082,12.397,-0.43
2083,12.344,-0.43
2084,12.292,-0.42
2085,12.239,-0.43
2086,12.187,-0.42
2087,12.134,-0.43
2088,12.082,-0.43
2089,12.031,-0.42
2090,11.98,-0.42
2091,11.929,-0.43
2092,11.878,-0.43
2093,11.827,-0.43
2094,11.78,-0.4
2095,11.733,-0.4
2096,11.685,-0.41
2097,11.638,-0.4
2098,11.591,-0.4
2099,11.544,-0.41
2100,11.497,-0.41
