date, Deaths per 1000 People, Annual % Change
1950,20.15,
1951,19.804,-1.72
1952,19.459,-1.74
1953,19.113,-1.78
1954,18.767,-1.81
1955,18.422,-1.84
1956,18.076,-1.88
1957,17.731,-1.91
1958,17.385,-1.95
1959,17.13,-1.47
1960,16.876,-1.48
1961,16.621,-1.51
1962,16.367,-1.53
1963,16.112,-1.56
1964,15.591,-3.23
1965,15.07,-3.34
1966,14.55,-3.45
1967,14.029,-3.58
1968,13.508,-3.71
1969,13.203,-2.26
1970,12.898,-2.31
1971,12.593,-2.36
1972,12.288,-2.42
1973,11.983,-2.48
1974,11.737,-2.05
1975,11.492,-2.09
1976,11.246,-2.14
1977,11.001,-2.18
1978,10.755,-2.24
1979,10.612,-1.33
1980,10.469,-1.35
1981,10.327,-1.36
1982,10.184,-1.38
1983,10.041,-1.4
1984,9.928,-1.13
1985,9.816,-1.13
1986,9.703,-1.15
1987,9.591,-1.15
1988,9.478,-1.18
1989,9.404,-0.78
1990,9.329,-0.8
1991,9.255,-0.79
1992,9.18,-0.81
1993,9.106,-0.81
1994,9.04,-0.72
1995,8.974,-0.73
1996,8.908,-0.74
1997,8.842,-0.74
1998,8.776,-0.75
1999,8.712,-0.73
2000,8.647,-0.75
2001,8.583,-0.74
2002,8.518,-0.76
2003,8.454,-0.75
2004,8.372,-0.97
2005,8.29,-0.98
2006,8.209,-0.98
2007,8.127,-1
2008,8.045,-1.01
2009,7.969,-0.94
2010,7.894,-0.94
2011,7.818,-0.96
2012,7.743,-0.96
2013,7.667,-0.98
2014,7.643,-0.31
2015,7.619,-0.31
2016,7.594,-0.33
2017,7.57,-0.32
2018,7.546,-0.32
2019,7.579,0.44
2020,7.612,0.44
2021,7.645,0.43
2022,7.678,0.43
2023,7.711,0.43
2024,7.756,0.58
2025,7.802,0.59
2026,7.847,0.58
2027,7.893,0.59
2028,7.938,0.57
2029,7.998,0.76
2030,8.058,0.75
2031,8.117,0.73
2032,8.177,0.74
2033,8.237,0.73
2034,8.313,0.92
2035,8.39,0.93
2036,8.466,0.91
2037,8.543,0.91
2038,8.619,0.89
2039,8.697,0.9
2040,8.774,0.89
2041,8.852,0.89
2042,8.929,0.87
2043,9.007,0.87
2044,9.078,0.79
2045,9.149,0.78
2046,9.221,0.79
2047,9.292,0.77
2048,9.363,0.76
2049,9.427,0.68
2050,9.491,0.68
2051,9.556,0.68
2052,9.62,0.67
2053,9.684,0.67
2054,9.741,0.59
2055,9.797,0.57
2056,9.854,0.58
2057,9.91,0.57
2058,9.967,0.58
2059,10.016,0.49
2060,10.065,0.49
2061,10.114,0.49
2062,10.163,0.48
2063,10.212,0.48
2064,10.255,0.42
2065,10.298,0.42
2066,10.341,0.42
2067,10.384,0.42
2068,10.427,0.41
2069,10.467,0.38
2070,10.506,0.37
2071,10.546,0.38
2072,10.585,0.37
2073,10.625,0.38
2074,10.658,0.31
2075,10.692,0.32
2076,10.725,0.31
2077,10.759,0.32
2078,10.792,0.31
2079,10.816,0.22
2080,10.84,0.22
2081,10.864,0.22
2082,10.888,0.22
2083,10.912,0.22
2084,10.926,0.13
2085,10.941,0.14
2086,10.955,0.13
2087,10.97,0.14
2088,10.984,0.13
2089,10.998,0.13
2090,11.012,0.13
2091,11.025,0.12
2092,11.039,0.13
2093,11.053,0.13
2094,11.074,0.19
2095,11.095,0.19
2096,11.117,0.2
2097,11.138,0.19
2098,11.159,0.19
2099,11.18,0.19
2100,11.201,0.19
