date,Population,Change
1950,2536431149,
1951,2584034261,1.88
1952,2630861562,1.81
1953,2677608960,1.78
1954,2724846741,1.76
1955,2773019936,1.77
1956,2822443282,1.78
1957,2873306090,1.8
1958,2925686705,1.82
1959,2979576185,1.84
1960,3034949748,1.86
1961,3091843507,1.87
1962,3150420795,1.89
1963,3211001009,1.92
1964,3273978338,1.96
1965,3339583597,2
1966,3407922630,2.05
1967,3478769962,2.08
1968,3551599127,2.09
1969,3625680627,2.09
1970,3700437046,2.06
1971,3775759617,2.04
1972,3851650245,2.01
1973,3927780238,1.98
1974,4003794172,1.94
1975,4079480606,1.89
1976,4154666864,1.84
1977,4229506060,1.8
1978,4304533501,1.77
1979,4380506100,1.76
1980,4458003514,1.77
1981,4536996762,1.77
1982,4617386542,1.77
1983,4699569304,1.78
1984,4784011621,1.8
1985,4870921740,1.82
1986,4960567912,1.84
1987,5052522147,1.85
1988,5145426008,1.84
1989,5237441558,1.79
1990,5327231061,1.71
1991,5414289444,1.63
1992,5498919809,1.56
1993,5581597546,1.5
1994,5663150427,1.46
1995,5744212979,1.43
1996,5824891951,1.4
1997,5905045788,1.38
1998,5984793942,1.35
1999,6064239055,1.33
2000,6143493823,1.31
2001,6222626606,1.29
2002,6301773188,1.27
2003,6381185114,1.26
2004,6461159389,1.25
2005,6541907027,1.25
2006,6623517833,1.25
2007,6705946610,1.24
2008,6789088686,1.24
2009,6872767093,1.23
2010,6956823603,1.22
2011,7041194301,1.21
2012,7125828059,1.2
2013,7210581976,1.19
2014,7295290765,1.17
2015,7379797139,1.16
2016,7464022049,1.14
2017,7547858925,1.12
2018,7631091040,1.1
2019,7713468100,1.08
2020,7794798739,1.05
2021,7874965825,1.03
2022,7953952567,1
2023,8031800429,0.98
2024,8108605388,0.96
2025,8184437460,0.94
2026,8259276737,0.91
2027,8333078316,0.89
2028,8405863295,0.87
2029,8477660693,0.85
2030,8548487400,0.84
2031,8618349489,0.82
2032,8687227850,0.8
2033,8755083431,0.78
2034,8821862661,0.76
2035,8887524213,0.74
2036,8952048940,0.73
2037,9015437653,0.71
2038,9077693676,0.69
2039,9138828468,0.67
2040,9198847240,0.66
2041,9257745535,0.64
2042,9315508050,0.62
2043,9372118186,0.61
2044,9427555367,0.59
2045,9481803274,0.58
2046,9534854828,0.56
2047,9586707986,0.54
2048,9637357637,0.53
2049,9686800357,0.51
2050,9735033990,0.5
2051,9782061551,0.48
2052,9827884640,0.47
2053,9872499765,0.45
2054,9915902218,0.44
2055,9958094074,0.43
2056,9999078316,0.41
2057,10038871455,0.4
2058,10077505218,0.38
2059,10115019649,0.37
2060,10151448761,0.36
2061,10186811588,0.35
2062,10221118372,0.34
2063,10254382505,0.33
2064,10286615746,0.31
2065,10317830205,0.3
2066,10348042081,0.29
2067,10377267714,0.28
2068,10405519682,0.27
2069,10432810409,0.26
2070,10459152507,0.25
2071,10484559382,0.24
2072,10509046182,0.23
2073,10532629592,0.22
2074,10555327277,0.22
2075,10577155889,0.21
2076,10598131958,0.2
2077,10618268333,0.19
2078,10637573903,0.18
2079,10656054443,0.17
2080,10673719474,0.17
2081,10690576967,0.16
2082,10706644425,0.15
2083,10721951208,0.14
2084,10736532842,0.14
2085,10750416739,0.13
2086,10763615214,0.12
2087,10776129373,0.12
2088,10787962319,0.11
2089,10799112048,0.1
2090,10809575802,0.1
2091,10819350484,0.09
2092,10828432708,0.08
2093,10836817175,0.08
2094,10844496726,0.07
2095,10851460597,0.06
2096,10857694249,0.06
2097,10863179438,0.05
2098,10867893848,0.04
2099,10871811478,0.04
2100,10874902318,0.03
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
